,AUV
2009-03-31,74.43610527528368
2009-04-30,78.92185655442047
2009-05-31,81.37580765422018
2009-06-30,87.24476267301269
2009-07-31,91.11689340583702
2009-08-31,103.99169495735596
2009-09-30,98.42088773168368
2009-10-31,101.11674426353974
2009-11-30,105.8944465187817
2009-12-31,116.82337356839389
2010-01-31,120.12338165766553
2010-02-28,111.37371049631935
2010-03-31,119.42734572564268
2010-04-30,125.87728064601895
2010-05-31,112.45071755749608
2010-06-30,105.70071338750984
2010-07-31,108.564032141259
2010-08-31,116.09050878759362
2010-09-30,119.8225152651842
2010-10-31,129.07679031163494
2010-11-30,128.89060821340257
2010-12-31,131.57349906478603
2011-01-31,136.7390143665354
2011-02-28,141.694195681626
2011-03-31,142.3395067025228
2011-04-30,149.17874974956896
2011-05-31,144.94786158974424
2011-06-30,142.9778617724235
2011-07-31,141.08099144113459
2011-08-31,134.72207085997803
2011-09-30,129.9071514334814
2011-10-31,122.45737391271383
2011-11-30,116.79697957369429
2011-12-31,113.65262268088384
2012-01-31,120.43041288362647
2012-02-29,123.36503716824268
2012-03-31,122.39104364242002
2012-04-30,115.56590357021238
2012-05-31,112.71900508979141
2012-06-30,107.11179546226109
2012-07-31,108.85057339487425
2012-08-31,106.41170453101219
2012-09-30,116.5209613970538
2012-10-31,112.83796619929083
2012-11-30,111.90254153440686
2012-12-31,118.45181947456167
2013-01-31,116.68425383898642
2013-02-28,117.39341674903044
2013-03-31,109.87180810558806
2013-04-30,106.647044330889
2013-05-31,105.20064247807656
2013-06-30,103.82817650961218
2013-07-31,101.64268693674492
2013-08-31,103.34963263420846
2013-09-30,99.90262371889452
2013-10-31,102.58012955198063
2013-11-30,99.19064170104681
2013-12-31,98.54117656477544
2014-01-31,97.40165314454103
2014-02-28,95.96155080671794
2014-03-31,96.79931977301224
2014-04-30,102.04856710427019
2014-05-31,98.5701345306168
2014-06-30,101.79881483893156
2014-07-31,106.46587978329434
2014-08-31,110.09895331082858
2014-09-30,107.16715886683666
2014-10-31,104.87462288758269
2014-11-30,110.31177008647582
2014-12-31,103.22559789162247
2015-01-31,98.24149143088154
2015-02-28,97.97623698386995
2015-03-31,95.61842911959289
2015-04-30,97.4073822497959
2015-05-31,96.86704327319762
2015-06-30,91.38336192327763
2015-07-31,88.89951469163904
2015-08-31,83.93700283653477
2015-09-30,85.8790542651018
2015-10-31,82.32313265801137
2015-11-30,79.4458605085088
2015-12-31,80.6295535954137
2016-01-31,79.84897275155646
2016-02-29,82.36645182952445
2016-03-31,82.85486882158253
2016-04-30,85.11469495221282
2016-05-31,83.91216714658435
2016-06-30,86.07907906441332
2016-07-31,87.28389898660551
2016-08-31,87.58905983797747
2016-09-30,85.06293544937074
2016-10-31,88.77724985689764
2016-11-30,92.87772017768066
2016-12-31,92.69301812861013
2017-01-31,96.20733142937877
2017-02-28,100.15443877774577
2017-03-31,101.95122141035493
2017-04-30,102.00021171337825
2017-05-31,101.37553078873643
2017-06-30,100.0
2017-07-31,101.48615251542776
2017-08-31,107.29437422392915
2017-09-30,110.25040091917846
2017-10-31,111.54964067767914
2017-11-30,110.06840740075494
2017-12-31,109.74765884254131
2018-01-31,116.49281230108583
2018-02-28,115.61505501290492
2018-03-31,110.18859533590654
2018-04-30,119.05071962925346
2018-05-31,121.50569804341806
2018-06-30,118.18383828016572
2018-07-31,110.49888856339665
2018-08-31,109.39159939193863
2018-09-30,107.75012256550158
2018-10-31,108.14464576544478
2018-11-30,103.63567950816869
2018-12-31,102.85374747174556
2019-01-31,99.88189616988137
2019-02-28,100.78950264235024
2019-03-31,100.8997502773338
2019-04-30,99.78977622324152
2019-05-31,97.20195288078499
2019-06-30,97.09976447875943
2019-07-31,99.25247887147059
2019-08-31,94.56563958127951
2019-09-30,94.95111447209382
2019-10-31,93.77327346600494
2019-11-30,95.93337091033884
2019-12-31,96.24878619342823
2020-01-31,96.81165525299248
2020-02-29,92.19183103692986
2020-03-31,88.31665156835238
2020-04-30,80.54300541087946
2020-05-31,81.05326272229377
2020-06-30,86.56730229508089
2020-07-31,90.54575321724684
2020-08-31,95.65833027557797
2020-09-30,96.85928036241786
2020-10-31,100.17785745001942
2020-11-30,106.83398327317333
2020-12-31,112.2831339075162
2021-01-31,113.4084835738836
2021-02-28,117.19646368889885
2021-03-31,122.67687748709297
2021-04-30,130.11579302881734
2021-05-31,138.1721674822279
2021-06-30,138.49061355865234
2021-07-31,140.6475301534123
2021-08-31,143.408682197682
2021-09-30,151.96433009190037
2021-10-31,157.27805850147325
2021-11-30,142.2699637108297
2021-12-31,146.49243588865352
2022-01-31,162.8821902908475
2022-02-28,175.49303980817533
2022-03-31,189.6655114693316
2022-04-30,177.97499300028574
2022-05-31,157.95146992605527
2022-06-30,144.26077769443702
2022-07-31,133.56910183705023
2022-08-31,134.39256445500143
2022-09-30,124.62216960270469
2022-10-31,126.65827501914484
2022-11-30,130.63006501230328
2022-12-31,132.9519465209193
2023-01-31,138.09778839221693
2023-02-28,134.5466935234627
2023-03-31,128.13739677357893
2023-04-30,129.8760282114815
2023-05-31,125.48637086505285
2023-06-30,121.25820908975686
2023-07-31,119.30167200850927
2023-08-31,116.77497663720047
2023-09-30,119.83977102739347
2023-10-31,120.01146444668349
2023-11-30,120.64165602640351
2023-12-31,120.57622099660715
2024-01-31,120.7485638731988
2024-02-29,118.88080352541115
2024-03-31,120.53905068914446
2024-04-30,133.70153679896765
2024-05-31,137.7723493463491
2024-06-30,133.40510012128334
2024-07-31,125.5391689754958
2024-08-31,125.11146439249417
2024-09-30,130.52183979178838
2024-10-31,137.94878708789216
2024-11-30,137.28992780158512
2024-12-31,135.37944771855618
2025-01-31,137.1245436679813
2025-02-28,141.5725342585739
2025-03-31,140.7103875366874
2025-04-30,126.91336218569278
2025-05-31,130.81251079542173
2025-06-30,133.90768287338443
2025-07-31,137.8492025411558
2025-08-31,137.2682554445121
2025-09-30,140.35712703240046
2025-10-31,147.18681247572033
2025-11-30,148.67282673396892
2025-12-31,151.52627660892676
